Symbol,Description
PNC.B,Postmedia Network Canada
PNE,Pine Cliff Energy Ltd
PNP,Pinetree Capital Ltd
PNT,CPI Card Group Inc
POM,Polymet Mining Corp.
POT,Potash Corp of Sask Inc
POU,Paramount Resources Ltd.
POW,Power Corporation of Can
POW.PR.A,Power Corp A Pr
POW.PR.B,Power Corp. Preferred Sh
POW.PR.C,Power Corp of Canada 5.8
POW.PR.D,Power Corp  Non-Cum 1St
POW.PR.E,Power Corp Part Pr
POW.PR.F,Power Corp 1St Pr
POW.PR.G,Power Corp of Canada 5.6
PPL,Pembina Pipeline Corpora
PPL.DB.F,Pembina Pipeline Corp. 5
PPL.PR.A,Pembina Pipeline Corp Pr
PPL.PR.C,Pembina Pipeline Corp Pr
PPL.PR.E,Pembina Pipeline Corp Pr
PPL.PR.G,Pembina Pipeline Corp Pr
PPL.PR.I,Pembina Pipeline Corp Pr
PPL.PR.K,Pembina Pipeline Corp Pref Series 11
PPL.PR.M,Pembina Pipeline Corp Pref Ser 13
PPR,Prairie Provident Resources Inc
PPS,Powershares CDN Pref Sha
PPT.U,Sprott Physical Platinum
PPY,Painted Pony Petroleum L
PR,Lysander Slater Pref Sha
PRA,Purpose Diversified Real
PRF.UN,Pinebridge Inv Grade Pre
PRK,Potash Ridge Corporation
PRQ,Petrus Resources Ltd
PRU,Perseus Mining Limited
PRW,Petrowest Corporation
PSA,Purpose High Interest Sa
PSB,Pwrshrs 1 To 5 Yr  Ladde
PSD,Pulse Seismic Inc.
PSF.UN,Preferred Share Investme
PSG,Performance Sports Group
PSI,Pason Systems Inc.
PSK,Prairiesky Royalty Ltd
PSU.U,Purpose US Cash ETF
PSY,Pwrshr Glb Sharehldr Yie
PTB,Powershares Tactical Bon
PTM,Platinum Group Metals Lt
PTS,Points International Ltd
PUB.UN,US Banks Income and Growth Fund
PUD,Purpose US Dividend Fund
PUD.B,Purpose US Dividend Fund
PUR,Pure Technologies Ltd
PVG,Pretium Resources Inc.
PVS.PR.B,Partners Value Split Cor
PVS.PR.C,Partners Value Split Cor
PVS.PR.D,Partners Value Split Cor
PVS.PR.E,Partners Value Split Corp Pref Ser 7
PWC,Pwc Capital Inc
PWC.NT.C,Pwc Capital Inc 9 Pct Se
PWC.PR.A,Pwc Capital Inc Pref Cla
PWC.PR.B,Pwc Capital Inc Pref Cla
PWF,Power Financial Corp.
PWF.PR.A,Power Fin Ser A Pr
PWF.PR.E,Power Fin Ser D Pr
PWF.PR.F,Power Financial Corp. Pr
PWF.PR.G,Power Financial Corp 5.9
PWF.PR.H,Power Financial Corp 5.7
PWF.PR.I,Power Financial Corp 6%
PWF.PR.K,Power Fin Corp 4.95% Ser
PWF.PR.L,Power Financial Corp Ser
PWF.PR.O,Power Financial Corp 5.8
PWF.PR.P,Pwr Fnl Corp 4.40 Non Cu
PWF.PR.Q,Power Fin Corp 4.40 Pct Pref Ser Q
PWF.PR.R,Power Financial Corp 5.5
PWF.PR.S,Power Financial Corp Pre
PWF.PR.T,Power Financial Corp 4.2
PWT,Penn West Petroleum Ltd.
PXC,Powershr FTSE Rafi CAD I
PXF,First Asset Provincial B
PXF.A,First Asset Prov Bond Id
PXG,Pwrshr FTSE Rafi Global
PXG.U,Pwrshr FTSE Rafi Global Plus Fdamntl USD
PXS,Pwrshr FTSE Rafi US Fdam
PXS.U,Pwrshr FTSE Rafi US Fdamntl ETF USD
PXT,Parex Resources Inc
PXU,Powershr FTSE Rafi US Id
PXX,Blackpearl Resources Inc
PYF,Purpose Premium Yield Fund ETF
PZA,Pizza Pizza Royalty Corp
PZC,Pwrshr FTSE Rafi CDN Sml
PZW,Pwrshr FTSE Rafi Glb Sml
QBR.A,Quebecor Inc. Cl.A Mv
QBR.B,Quebecor Inc. Cl.B Sv
QCP,Questrade Fixed Inc Core Plus ETF
QEC,Questerre Energy Corp
QGE,Questrade Global Total Equity ETF
QLT,Qlt Inc
QMG,Questrade Rus US Mc Grwt
QMV,Questrade Rus US Mc Val
QQC,Powershares QQQ CAD Hdg
QRD,Questrade Rus 1000 EW US
QRH,Questrade Rus 1000 Eq US
QRI,Questrade Rus 1000 EW US
QRM,Quest Rare Minerals Ltd
QRM.WT,Quest Rare Minerals Ltd
QRT,Questrade Rus 1000 EW US
QSP.UN,Restaurant Brands Intl L
QSR,Restaurant Brands Intern
QXM,F A Morningstar Nb Quebe
QXM.A,F A Morningstar Nb Quebe
R,Red Eagle Mining Corp
RAI.UN,Real Asset Income and Gr
RAV.UN,Ravensource Fund
RAY.A,Stingray Digital Group I
RAY.B,Stingray Digital Group I
RBA,Ritchie Bros Auctioneers
RBM,Response Biomedical Corp
RBN.UN,Blue Ribbon Income Fund
RBO,RBC 1 To 5 Yr Laddered C
RBS,R Split III Corp. Capita
RC,Rdm Corp
RCD,RBC Quant CDN Dividend L
RCE,RBC Quant Canadian Equit
RCH,Richelieu Hardware
RCI.A,Rogers Communications In
RCI.B,Rogers Communications In
RCO.UN,Middlefield Can Global R
RDI,Rockwell Diamonds Inc
RDK,Redhawk Resources Inc
RDL,Redline Communications G
REF.UN,CDN Real Estate Un
REI.PR.C,Riocan REIT Pref Series
REI.UN,Riocan Real Est Un
RET,Reitmans Canada
RET.A,Reitmans (Canada) Ltd.
RFP,Resolute Forest Products
RGX,Argex Titanium Inc
RGX.DB,Argex Titanium Inc 8.0 P
RHF,RBC Quant EAFE Equity Ldrs [Ca
RHI,RBC Quant EAFE Div Leade
RHP,RBC Quant European Div L
RHS,RBC Quant US Equity Lead
RHU,RBC Quant US Div Leaders
RIB.UN,Ridgewood CAD Invest Gra
RIC,Richmont Mines
RID,RBC Quant EAFE Div Leade
RID.U,RBC Quant EAFE Div Leade
RIE,RBC Quant EAFE Equity Le
RIG,RBC Quant Global Infras Leaders ETF
RIT,First Asset Canadian REIT ETF
RIT.A,Fa Canadian REIT ETF Adv Cls
RKN,Redknee Solutions Inc.
RLB,RBC 1-5 Year Laddered Canadian
RLD,RBC Strategic Global Div Leaders ETF
RLE,RBC Stategic Global Equity Leaders ETF
RME,Rocky Mountain Dealershi
RMP,Rmp Energy Inc
RN,Rio Novo Gold Inc
RNW,Transalta Renewables Inc
RNX,Royal Nickel Corporation
RON.PR.A,Rona Inc Class A Preferr
RON.PR.B,Rona Inc Pref Series 7
RPD,RBC Quant European Div L
RPD.U,RBC Quant European Div L
RPF,RBC Canadian Preferred Share ETF
RPI.UN,Richards Packaging Incom
RQD,RBC Target 2016 Corp Bon
RQE,RBC Target 2017 Corp Bon
RQF,RBC Target 2018 Corp Bon
RQG,RBC Target 2019 Corp Bon
RQH,RBC Target 2020 Corp Bon
RQI,RBC Target 2021 Corp Bon
RQJ,RBC Target 2022 Corp Bond Idx ETF
RQK,RBC Target 2023 Corp Bond Idx ETF
RRX,Raging River Exploration
RSI,Rogers Sugar Inc
RSI.DB.C,Rogers Sugar Inc. 5.70 D
RSI.DB.D,Rogers Sugar 5.75 Pct Co
RTCM,S&P/TSX Income Trust
RTG,Rtg Mining Inc
RTRE,S&P/TSX Capped REIT
RTU.UN,CDN Resources Un
RUD,RBC Quant US Div Leaders
RUD.U,RBC Quant US Div Leaders
RUE,RBC Quant US Equity Lead
RUE.U,RBC Quant US Equity Lead
RUS,Russel Metals
RVX,Resverlogix Corp.
RWC,First Asset MSCI Canada
RWC.A,First Asset MSCI Cda Low
RWE,First Asset MSCI Europe
RWE.A,First Asset MSCI Europe
RWE.B,First Asset MSCI Europe
RWE.D,First Asset MSCI Europe
RWU,First Asset MSCI USA Lr
RWU.B,First Asset MSCI USA Lr
RWW,First Asset MSCI World L
RWW.A,First Asset MSCI Wld Low
RWW.B,First Asset MSCI Wld Lr
RXD,RBC Quant Emerging Mkts
RXD.U,RBC Quant Emerging Mkts
RXE,RBC Quant Emerg Mkts Equity Leaders ETF
RY,Royal Bank of Canada
RY.PR.A,Royal Bank of Canada Pr
RY.PR.B,RBC Non-Cum First Prefer
RY.PR.C,Royal Bank of Can. First
RY.PR.D,RBC First Pref Shares Se
RY.PR.E,RBC Non-Cum First Pr Shs
RY.PR.F,RBC Non-Cum First Pref S
RY.PR.G,RBC Non-Cum First Pr Ser
RY.PR.H,Royal Bank of Canada Prf
RY.PR.I,Royal Bank  Pref Series
RY.PR.J,Royal Bank Pref Series B
RY.PR.K,Royal Bank Pref Series A
RY.PR.L,RBC Non Com 5-Year Srs A
RY.PR.M,Royal Bank Pref Series B
RY.PR.N,Royal Bank Pref Series B
RY.PR.O,RBC Pref Shares Series B
RY.PR.P,RBC Pref Shares Series Bj
RY.PR.Q,RBC Pref Shares Series Bk
RY.PR.R,RBC Pref Shares Series Bm
RY.PR.W,RBC 4.90% Ser. W
RY.PR.Z,RBC First Pref Sh Series
S,Sherritt Intl Rv
SAM,Starcore International M
SAP,Saputo Inc.
SAU,ST Augustine Gold and Co
SBB,Sabina Gold and Silver C
SBC,Brompton Split Banc Corp
SBC.PR.A,Brompton Split Banc Corp
SBI,Serabi Gold Plc
SBN,S Split Corp. Cl.A
SBN.PR.A,S Split Corp. Pref A
SBR,Silver Bear Resources In
SBT.B,Silver Bullion Trust CAD ETF Non Cur
SCB,Street Capital Group Inc
SCC,Sears Canada Inc
SCL,Shawcor Ltd
SCP,Sprott Resource  Corp
SCU,The Second Cup Ltd.
SCW.UN,Canso Select Opportuniti
SCY,Scandium International M
SDY,Strad Energy Services Lt
SEA,Seabridge Gold Inc.
SEC,Senvest Capital
SEN,Serinus Energy Inc
SES,Secure Energy Services I
SEV,Spectra7 Microsystems In
SFD,Nxt Energy Solutions Inc
SGF,Shore Gold Inc.
SGQ,Southgobi Resources Ltd
SGY,Surge Energy Inc
SH,Shopify Inc
SHA,Sphere FTSE Asia Sustainable Yld ETF
SHC,Sphere FTSE Cda Sustainable Yld ETF
SHE,Sphere FTSE Euro Sustainable Yld ETF
SHOP,Shopify Inc
SHU,Sphere FTSE US Sustainable Yld ETF
SHZ,Sphere FTSE Emerg Mkts Yld Idx ETF
SIA,Sienna Senior Living Inc
SIA.DB,Sienna Senior Living Inc
SIF.UN,Strategic Income Allocat
SII,Sprott Inc.
SIN.UN,Sciti Trust
SIS,Savaria Corp.
SJ,Stella Jones Inc
SJR.B,Shaw Communications Inc.
SJR.PR.A,Shaw Communications Inc
SJR.PR.B,Shaw Communications Series B
SKG.UN,Skylon Growth & Income F
SLF,Sun Life Financial Inc.
SLF.PR.A,Sun Life Financial Inc P
SLF.PR.B,Sun Life Financial Inc.
SLF.PR.C,Sunlife Financial Inc. C
SLF.PR.D,Sun Life Financial Inc.
SLF.PR.E,Sun Life Financial Inc.
SLF.PR.G,Sun Life Financial Inc.
SLF.PR.H,Sun Life Financial Inc P
SLF.PR.I,Sun Life Financial Inc P
SLF.PR.J,Sun Life Financial Inc P
SLF.PR.K,Sun Life Financial Inc Pref Ser 11Qr
SLR,Solitario Exploration &
SLW,Silver Wheaton Corp.
SMC,Sulliden Mining Capital
SMF,SEMAFO J
SMT,Sierra Metals Inc
SMU.UN,Summit Industrial Income
SNC,Snc-Lavalin Sv
SOT.UN,Slate Office REIT
SOX,Stuart Olson Inc
SOX.DB.A,Stuart Olson Inc 6 Pct D
SOY,Sunopta Inc.
SPB,Superior Plus Corp.
SPB.DB.H,Superior Plus Corp 6.0 P
SPE,Spartan Energy Corp
SQP,Strongco Corporation
SRT.U,Slate Retail REIT USD
SRT.UN,Slate Retail REIT
SRU.UN,Smart Real Estate Investment Trust
SRV.UN,Sir Royalty Income Fund
SSF.UN,Symphony Floating Rate S
SSL,Sandstorm Gold Ltd
SSL.WT,Sandstorm Gold Ltd Wts
SSL.WT.B,Sandstorm Gold Ltd Warra
SSO,Silver Standard Res Inc.
ST,Stonegate Agricom Ltd
STB,Student Transportation I
STB.DB.A,Student Transportation Inc 5.25 Pct Debs
STB.DB.C,Student Transportation I
STN,Stantec Inc
STNC,S&P/TSX North American P
STNU,S&P/TSX North American P
SU,Suncor Energy Inc.
SUM,Solium Capital Inc.
SVB,Silver Bull Resources In
SVC,Sandvine Corporation
SVM,Silvercorp Metals Inc.
SVR,Ishares Silver Bullion E
SVR.C,Ishares Silver Bullion E
SVY,Savanna Energy Services
SW,Sierra Wireless
SWH,Sunwah International Lim
SWY,Stornoway Diamond Corp.
SWY.DB.U,Stornoway Diamond Corp 6
SXI,Synex Intl J
SXP,Supremex Inc.
T,Telus Corporation
TA,Transalta Corporation
TA.PR.D,Transalta Corp Prfd Seri
TA.PR.E,Transalta Corp Pref Series B
TA.PR.F,Transalta Corp Pref Seri
TA.PR.H,Transalta Corp Pref Sh S
TA.PR.J,Transalta Corp Pref Seri
TAO,Tag Oil Ltd
TBL,Taiga Building Products
TBL.NT,Taiga Building Products
TC,Tucows Inc.
TCK.A,Teck Resources Limited C
TCK.B,Teck Resources Limited C
TCL.A,Transcontinental Inc. C
TCL.B,Transcontinental Inc. C
TCN,Tricon Capital Group Inc
TCN.DB.A,Tricon Capital Group Inc
TCS,Tecsys Inc J
TCT.UN,Top 10 Canadian Financia
TCW,Trican Well
TD,Toronto-Dominion Bank
TD.PF.A,TD Bank Pref Series 1
TD.PF.B,TD Bank Pref Series 3
TD.PF.C,TD Bank Pref Series 5
TD.PF.D,TD Bank Pref Series 7
TD.PF.E,TD Bank Pref Series 9
TD.PF.F,TD Bank Pref Series 11
TD.PF.G,TD Bank Pref Series 12
TD.PF.H,TD Bank Pref Series 14
TD.PR.S,TD Bank Ser S Pr
TD.PR.T,TD Bank Pref Series T
TD.PR.Y,TD Bank Ser Y Pr
TD.PR.Z,TD Bank Pref Series Z
TDB,TD CDN Aggregate Bond Index ETF
TDG,Trinidad Drilling Ltd.
TEI,Toscana Energy Income Co
TEI.DB,Toscana Energy Income Co
TEL,Tellza Communications In
TET,Trilogy Energy Corp.
TF,Timbercreek Financial Corp
TF.DB,Timbercreek Financial Corp 6.35 Pct Debs
TF.DB.A,Timbercreek Financial Corp 5.40 Pct Debs
TFI,Transforce Inc.
TGF.UN,Timbercreek Global Real
TGL,Transglobe Energy Corp
TGL.DB,Transglobe Energy Corp 6
TGO,Terago Inc.
TGZ,Teranga Gold Corporation
TH,Theratechnologies
TH.WT,Theratechnologies Inc Wt
The,TD Intl Equity CAD Hedge Index ETF
THO,Tahoe Resources Inc
THU,TD SP 500 CAD Hedge Index ETF
TIH,Toromont Ind
TKO,Taseko Mines Ltd.
TLB,Tearlab Corporation
TLF.UN,Tech Leaders Income Fund
TLO,Talon Metals Corp.
TLV,Powershares SP TSX Low V
TMB,Tembec Inc.
TMD,Titan Medical Inc
TMD.WT.C,Titan Medical Inc Wts Cl
TMD.WT.D,Titan Medical Inc Wts Cl
TMD.WT.F,Titan Medical Inc Wts Cl F
TMD.WT.G,Titan Medical Inc Wts Cl G
TMD.WT.H,Titan Medical Inc Wts Cl H
TMD.WT.I,Titan Medical Inc Wts Cl I
TMI,Trimetals Mining Inc
TMI.B,Trimetals Mining Inc Cla
TML,Treasury Metals Inc.
TMM,Timmins Gold Corp
TMQ,Trilogy Metals Inc
TMR,Tmac Resources Inc
TNP,Transatlantic Petroleum
TNT.UN,True North Commercial Re
TNX,Tanzanian Royalty Explor
TOF.UN,Taylor North American Eq
TOG,Torc Oil and Gas Ltd
TOOC,TSX Capped Composite Index
TOS,Tso3 Inc
TOT,Total Energy Services In
TOU,Tourmaline Oil Corp
TOU.R,Tourmaline Oil Corp Sub Receipts
TOY,Spin Master Corp
TPE,TD International Equity Index ETF
TPH,Temple Hotels Inc
TPH.DB.C,Temple Hotels Inc 8.0 PC
TPH.DB.D,Temple Hotels Inc 7.75 P
TPH.DB.E,Temple Hotels Inc 7.25 P
TPH.DB.F,Temple Hotels Inc 7.0 PC
TPH.RT,Temple Hotels Inc RTS
TPK,Ten Peaks Coffee Company
TPL,Tethys Petroleum Limited
TPU,TD SP 500 Index ETF
TPX.A,Molson Coors Canada Inc.
TPX.B,Molson Coors Canada Inc.
TR,Trillium Therapeutics In
TRF.UN,First Asset Energy & Res
TRH.UN,Triax Diversif Un
TRI,Thomson Reuters Corporat
TRI.PR.B,Thomson Reuters Corporat
TRP,Transcanada Corp.
TRP.PR.A,Transcanada Corp Pref Se
TRP.PR.B,Transcanada Corp Pref Se
TRP.PR.C,Transcanada Cumul Redeem
TRP.PR.D,Transcanada Corp Pref Se
TRP.PR.E,Transcanada Corp Pref Se
TRP.PR.F,Transcanada Corp Pref Se
TRP.PR.G,Transcanada Corp Pref Se
TRP.PR.H,Transcanada Corp Pref Se
TRP.PR.I,Transcanada Corp Pref Series 6
TRP.PR.J,Transcanada Corp Pref Series 13
TRP.PR.K,Transcanada Corp Pref Series 15
TRQ,Turquoise Hill Resources
TRZ,Transat At Inc
TS.B,Torstar Corp. Cl. B Nv
TSL,Tree Island Steel Ltd
TST,Telesta Therapeutics Inc
TTCD,S&P/TSX Capped Consumer
TTCS,S&P/TSX Capped Consumer
TTE.UN,Top 20 Europe Dividend T
TTEN,S&P/TSX Capped Energy
TTFS,S&P/TSX Capped Financial
TTGD,S&P/TSX Capped Gold
TTHC,S&P/TSX Capped Health CA
TTIN,S&P/TSX Capped Industria
TTMT,S&P/TSX Capped Materials
TTP,TD SP TSX Capped Comp Index ETF
TTRE,S&P/TSX Capped Real Esta
TTTK,S&P/TSX Capped Informati
TTTS,S&P/TSX Capped Telecommu
TTUT,S&P/TSX Capped Utilities
TTY.UN,Top 20 Dividend Trust
TUT.UN,Top 20 US Dividend Trust
TV,Trevali Mining Corporati
TVA.B,Tva Group Inc. Cl.B Nv
TVE,Tamarack Valley Energy L
TVK,Terravest Capital Inc
TVK.DB,Terravest Capital Inc 7.
TWC,Twc Enterprises Limited
TXBA,S&P/TSX Composite Index
TXBB,S&P/TSX Composite Buybac
TXBE,S&P/TSX Equal Weight Glo
TXBM,S&P/TSX Globalbase Metal
TXCE,S&P/TSX Composite Equal
TXCT,S&P/TSX Renew Energ & Cl
TXCX,TSX Composite Index
TXDC,S&P/TSX Composite Divide
TXDE,S&P/TSX Equal Weight Div
TXDV,S&P/TSX CDN Div Aristocr
TXEI,S&P/TSX Equity Income In
TXEW,S&P/TSX 60 Equal Weight
TXF,First Asset Tech Giants
TXF.A,First Asset Tech Giants
TXFO,TSX Completion Index
TXG,Torex Gold Resources Inc
TXGE,S&P/TSX Equal Weight Glo
TXGM,S&P/TSX Global Mining In
TXHB,S&P/TSX Composite High B
TXHE,S&P/TSX High Income Ener
TXHU,S&P/TSX High Income Ener
TXIE,S&P/TSX Equal Weight Ind
TXLV,S&P/TSX Composite Low Vo
TXOE,S&P/TSX Equal Weight Oil
TXP,Touchstone Exploration I
TXPR,S&P/TSX  Preferred Share
TXSC,TSX 60 Capped Index
TXSI,S&P/TSX 60 Shariah Index
TXSX,TSX 60 Index
TXSY,S&P/TSX Composite Shareh
TXT.PR.A,Top 10 Split Trust Prf.
TXT.UN,Top 10 Split Trust
TXTW,TSX Smallcap Index
TZS,Trez Capital Senior Mort
TZZ,Trez Capital Mortgage In
U,Uranium Participation Co
UCD.UN,Fa Morningstar US Consum
UDA.UN,Caldwell US Dividend Adv
UEX,Uex Corp
UFS,Domtar Corporation
ULV,Powershares Sp500 Low Vo
UNC,United Corp Ltd
UNC.PR.A,United Corp Pr A
UNC.PR.B,United Corp 59 Pr
UNG.PR.C,Union Gas 5-1/2% Pr
UNS,Uni Select Inc
UR,Urthecast Corp
URB,Urbana Corporation
URB.A,Urbana Corporation Cl A
URE,Ur-Energy Inc.
US,US Dividend Growers Inco
USA,Americas Silver Corporation
USB,Powershares Lad US 0 To
USB.U,Powershares Lad US 0 To
USF.UN,US Financials Income Fun
USH.UN,US Housing Recovery Fund
UST.UN,Utility Split Trust
UTC.C,Utility Corp Cl C
UTE.UN,Canadian Utilities Telec
UWE,U3O8 Corp
UXM,F A Morningstar US Div T
UXM.A,F A Morningstar US Div T
UXM.B,Fa Morningstar US Div Tg
UXM.D,Fa Morningstr US Div Tgt
VA,Vanguard FTSE Dev Asia P
VAB,Vanguard CDN Aggregate B
VAH,Vanguard FTSE Dev Asia Pac ETF CAD Hdg
VB,Versabank
VB.PR.A,Versabank Pref Series 1
VB.PR.B,Versabank Pref Series 3
VBG,Vanguard Global Ex US Ag
VBU,Vanguard US Agg Bond Ind
VBV,Vbi Vaccines Inc
VCE,Vanguard FTSE Canada Ind
VCM,Vecima Networks Inc.
VCN,Vanguard FTSE Canada All
VDU,Vanguard FTSE Developed
VDY,Vanguard FTSE CDN High D
VE,Vanguard FTSE Dev Europe
VEE,Vanguard FTSE Emerging M
VEF,Vanguard FTSE Dev Ex Na
VEH,Vanguard FTSE Dev Europe ETF CAD Hdg
VET,Vermilion Energy Inc
VFF,Village Farms Internatio
VFV,Vanguard SP 500 Index Et
VGG,Vanguard US Div Appr Idx
VGH,Vanguard US Div Appr Idx
VGI.UN,Voya Global Income Solut
VGZ,Vista Gold Corp
VI,Vanguard FTSE Dev All Cap Na Idx
VII,Seven Generations Energy
VIP.UN,Aston Hill Vip Income Fu
VIU,Vanguard FTSE Dev All Cap Na Idx
VIXC,S&P/TSX 60 VIX
VLE,Valeura Energy Inc
VLN,Velan Inc. Sv
VLQ,Vanguard Global Liquidity Factor ETF
VMO,Vanguard Glob Momentum Factor ETF
VNP,5N Plus Inc.
VNP.DB,5N Plus Inc 5.75 Pct Deb
VNR,Valener Inc
VNR.PR.A,Valener Inc Pref Series
VRE,Vanguard FTSE CDN Capped
VRX,Valeant Pharmaceuticals
VSB,Vanguard CDN Short-Term
VSC,Vanguard CDN Short Term
VSN,Veresen Inc.
VSN.PR.A,Veresen Inc Pref Sh Seri
VSN.PR.C,Veresen Inc Pref Sh Seri
VSN.PR.E,Veresen Inc Pref Sh Seri
VSP,Vanguard SP 500 Index Et
VUN,Vanguard US Total Market
VUS,Vanguard US Total Mkt Id
VVL,Vanguard Glob Val Factor ETF
VVO,Vanguard Global Min Vol ETF
VXC,Vanguard FTSE All World
VXM,F A Morningstar Intl Val
VXM.A,F A Morningstar Intl Val
VXM.B,F A Morningstar Intl Val
VXM.D,F A Morningstar Intl Val
VXS,Vixs Systems Inc
W.PR.H,Westcoast 7 Pr
W.PR.J,Westcoast 8 Pr
W.PR.K,Westcoast Energy Inc Pref Series 10
W.PR.M,Westcoast Energy Inc Pref Series 12
WCM.A,Wilmington Capital Mgmt
WCN,Waste Connections Inc.
WCP,Whitecap Resources Inc
WDO,Wesdome Gold Mines Ltd.
WDO.DB.A,Wesdome Gold Mines Ltd 7
WEF,Western Forest Products
WEQ,Westernone Inc
WEQ.DB,Westernone Inc 6.25 Pct
WFC,Wall Financial
WFS,World Financial Split Co
WFS.PR.A,World Financial Split Co
WFT,West Fraser Timber Co Lt
WG,Wellgreen Platinum Ltd
WIN,Wi-Lan Inc
WIR.U,Wpt Industrial REIT USD
WJA,Westjet Airlines Ltd.
WJX,Wajax Corporation
WM,Wallbridge Mng J
WN,Weston George
WN.PR.A,George Weston Limited Pr
WN.PR.C,George Weston Ltd. 5.20%
WN.PR.D,George Weston Ltd. 5.2%
WN.PR.E,George Weston Ltd. 4.75
WPK,Winpak Ltd
WPRT,Westport Innovations Inc
WPT,Westport Innovations Inc
WPX,Western Potash Corp
WRG,Western Energy Services
WRN,Western Copper and Gold
WSP,WSP Global Inc
WTE,Westshore Terminals Inve
WXM,F A Morningstar Cda Mome
WXM.A,F A Morningstar Cda Mome
X,Tmx Group Limited
XAL,Ishares Alternatives Com
XAU,Goldmoney Inc
XAW,Ishares Core MSCI All Cn
XBB,Ishares Canadian Univers
XBM,Ishares SP TSX Global BA
XBZ,Ishares MSCI Brazil Inde
XCB,Ishares Canadian Corpora
XCD,Ishares SP Global Cons D
XCG,Ishares Canadian Growth
XCH,Ishares China Index ETF
XCR,Ishares Conservative Cor
XCS,Ishares SP TSX Smallcap
XCT,Exactearth Ltd
XCV,Ishares Canadian Value I
XDC,Xtreme Drilling and Coil
XDV,Ishares Canadian Select
XEB,Ishares JP Morgan USD EM
XEC,Ishares Core MSCI Emergi
XEF,Ishares Core MSCI EAFE I
XEG,Ishares SP TSX Capped En
XEH,Ishares MSCI Europe IMI
XEI,Ishares Core SP TSX Comp
XEM,Ishares MSCI Emerging Ma
XEN,Ishares Jantzi Social In
XEU,Ishares MSCI Europe IMI
XFA,Ishares Factorselect MSCI USA Idx CAD
XFC,Ishares Factorselect MSCI C
XFF,Ishares Factorselect MSCI EAFE
XFH,Ishares Core MSCI EAFE I
XFI,Ishares Factorselect MSCI EAFE Idx ETF
XFN,Ishares SP TSX Capped Fi
XFR,Ishares Floating Rate In
XFS,Ishares Factorselect MSCI USA Idx ETF
XGB,Ishares Canadian Govt Bo
XGC,Ishares Global Comp. Por
XGD,Ishares S&P/Tsx Global G
XGI,Ishares SP Global Indust
XGR,Ishares Growth Core Port
XHB,Ishares CDN Hybrid Corp
XHC,Ishares Global Healthcar
XHD,Ishares US High Div Equi
XHU,Ishares US High Div Equi
XHY,Ishares US High Yield Bo
XIC,Ishares Core SP TSX Capp
XID,Ishares India Index ETF
XIG,Ishares US Ig Corporate
XIN,Ishares MSCI EAFE Index
XIT,Ishares SP TSX Capped In
XIU,Ishares SP TSX 60 Index
XLB,Ishares Core CDN Long Te
XMA,Ishares SP TSX Capped Ma
XMC,Ishares SP US Midcap Ind
XMD,Ishares SP TSX Completio
XMF.A,M Split Corp Capital Sha
XMF.PR.B,M Split Corp. Class I Pr
XMF.PR.C,M Split Corp. Class II P
XMH,Ishares SP US Midcap Ind
XMI,Ishares MSCI EAFE Min Vo
XML,Ishares Edge MSCI Mv EAFE ETF CAD Hgd
XMM,Ishares MSCI Emerg Mkts
XMS,Ishares Edge MSCI Mv USA ETF CAD Hgd
XMU,Ishares MSCI USA Min Vol
XMV,Ishares MSCI Canada Min
XMW,Ishares MSCI All Country
XMY,Ishares Edge MSCI Mv Glbl ETF CAD Hgd
XPF,Ishares SP TSX Na Pref S
XQB,Ishares Core Hi Quality
XQB.A,Ishares Core Hi Quality
XQQ,Ishares Nasdaq 100 Index
XRB,Ishares CDN Real Return
XRC,Exeter Resource Corporat
XRE,Ishares SP TSX Capped Re
XSB,Ishares Canadian Short T
XSC,Ishares Conv Shr Trm Stra Fxd
XSE,Ishares Cons Strat Fix I
XSH,Ishares Core CDN ST Corp
XSI,Ishares Short Term Strat
XSP,Ishares Core SP 500 Idx
XSQ,Ishares Core ST Hi Quali
XSR,Sirius XM Canada Holding
XST,Ishares SP TSX Capped Co
XSU,Ishares US Small Cap Ind
XTC,Exco Tech
XTD,Tdb Split Corp. Class A
XTD.PR.A,Tdb Split Corp. Priorit
XTG,Xtra Gold Resources Corp
XTR,Ishares Diversified Mont
XUH,Ishares Core SP US Total
XUS,Ishares Core SP 500 Inde
XUT,Ishares SP TSX Capped Ut
XUU,Ishares Core SP US Total
XWD,Ishares MSCI World Index
XXM,Fa Morningstar US Value
XXM.A,Fa Morningstar US Value
XXM.B,Fa Morningstr US Value I
XXM.D,Fa Morningstr US Val Unh
XYM.UN,Star Yield Managers Trust
Y,Yellow Pages Limited
Y.WT,Yellow Pages Limited Wts
YCM,Commerce Split Corp Capi
YCM.PR.A,Commerce Split Corp Clas
YCM.PR.B,Commerce Split Corp Clas
YGR,Yangarra Resources Ltd
YMI,Yellowhead Mining Inc
YP.UN,Yieldplus Income Fund
YPG.DB,Yp Digital and Media Sol
YRB.A,Yorbeau Res A J
YRI,Yamana Gold Inc
YRI.RT,Yamana Gold Inc RTS
YXM,Fa Morningstar US Moment
YXM.B,Fa Morningstar US Moment
ZAG,BMO Aggregate Bond Index
ZAR,Zargon Oil and Gas Ltd.
ZAR.DB,Zargon Oil and Gas Ltd 6
ZAZ,Zazu Metals Corporation
ZBK,BMO Equal Weight US Bank
ZCH,BMO China Equity Index E
