Date,Open,High,Low,Close,Volume,Adj Close
2013-11-27,1.14,1.80,1.12,1.80,937100,1.80
2013-11-26,1.12,1.23,1.07,1.10,1413700,1.10
2013-11-25,1.24,1.25,1.06,1.16,272000,1.16
2013-11-22,1.28,1.32,1.21,1.21,656200,1.21
2013-11-21,1.39,1.45,1.10,1.21,2530200,1.21
2013-11-20,1.68,1.79,0.48,0.63,2153800,0.63
2013-11-19,1.77,1.77,1.64,1.69,126200,1.69
2013-11-18,1.82,1.82,1.76,1.78,30800,1.78
2013-11-15,1.84,1.86,1.82,1.82,37000,1.82
2013-11-14,1.80,1.84,1.79,1.82,38400,1.82
2013-11-13,1.80,1.89,1.77,1.81,59600,1.81
2013-11-12,1.88,1.88,1.84,1.85,105800,1.85
2013-11-11,1.90,1.93,1.86,1.88,19400,1.88
2013-11-08,1.91,1.93,1.86,1.92,67100,1.92
2013-11-07,1.91,1.95,1.86,1.90,83500,1.90
2013-11-06,1.87,1.94,1.86,1.92,1196600,1.92
2013-11-05,1.90,1.91,1.85,1.86,563500,1.86
2013-11-04,1.96,1.96,1.86,1.90,34800,1.90
2013-11-01,1.98,1.99,1.95,1.96,30400,1.96
2013-10-31,1.98,1.99,1.94,1.99,67600,1.99
2013-10-30,2.03,2.03,1.99,2.00,43800,2.00
2013-10-29,2.11,2.11,1.99,2.02,36800,2.02
2013-10-28,2.14,2.14,2.09,2.09,297100,2.09
2013-10-25,2.10,2.15,2.05,2.15,316800,2.15
2013-10-24,2.05,2.12,2.02,2.09,91700,2.09
2013-10-23,1.98,2.06,1.96,2.05,438000,2.05
2013-10-22,1.97,2.00,1.94,1.97,11300,1.97
2013-10-21,2.00,2.00,1.89,1.97,185100,1.97
2013-10-18,1.87,1.99,1.87,1.99,44200,1.99
2013-10-17,1.90,1.93,1.87,1.87,38600,1.87
2013-10-16,2.00,2.00,1.85,1.85,27300,1.85
2013-10-15,1.92,1.97,1.92,1.95,16300,1.95
2013-10-11,1.98,2.00,1.94,1.95,5700,1.95
2013-10-10,1.99,2.00,1.96,1.97,10600,1.97
2013-10-09,2.00,2.01,1.99,1.99,307600,1.99
2013-10-08,2.10,2.10,2.01,2.03,20200,2.03
2013-10-07,2.04,2.08,2.04,2.07,25600,2.07
2013-10-04,2.11,2.11,2.02,2.04,68100,2.04
2013-10-03,2.08,2.11,2.07,2.09,5300,2.09
2013-10-02,2.13,2.18,2.07,2.11,54300,2.11
2013-10-01,2.09,2.12,2.08,2.11,8700,2.11
2013-09-30,2.14,2.14,2.09,2.11,187900,2.11
2013-09-27,2.12,2.14,2.07,2.11,41000,2.11
2013-09-26,2.10,2.17,2.10,2.10,39500,2.10
2013-09-25,2.15,2.19,2.08,2.08,16600,2.08
2013-09-24,2.12,2.20,2.11,2.15,27600,2.15
2013-09-23,2.18,2.20,2.08,2.09,75100,2.09
2013-09-20,2.15,2.21,2.13,2.17,258700,2.17
2013-09-19,2.17,2.22,2.12,2.18,468900,2.18
2013-09-18,2.05,2.25,2.05,2.10,153900,2.10
2013-09-17,1.99,2.10,1.99,2.05,732300,2.05
2013-09-16,2.05,2.05,1.80,2.00,211900,2.00
2013-09-13,2.05,2.08,1.99,2.00,152200,2.00
2013-09-12,2.05,2.06,2.04,2.04,8600,2.04
2013-09-11,2.07,2.08,2.05,2.06,15500,2.06
2013-09-10,2.10,2.11,2.05,2.05,37400,2.05
2013-09-09,2.13,2.14,2.09,2.12,75300,2.12
2013-09-06,2.17,2.17,2.12,2.14,31300,2.14
2013-09-05,2.15,2.19,2.15,2.18,1700,2.18
2013-09-04,2.19,2.19,2.14,2.16,1700,2.16
2013-09-03,2.24,2.30,2.19,2.19,4000,2.19
2013-08-30,2.22,2.29,2.21,2.21,8900,2.21
2013-08-29,2.16,2.26,2.15,2.20,10400,2.20
2013-08-28,2.21,2.25,2.17,2.21,4700,2.21
2013-08-27,2.20,2.23,2.14,2.22,4200,2.22
2013-08-26,2.20,2.25,2.17,2.17,4100,2.17
2013-08-23,2.25,2.28,2.18,2.18,58800,2.18
2013-08-22,2.15,2.23,2.10,2.21,57300,2.21
2013-08-21,2.20,2.20,2.15,2.18,15500,2.18
2013-08-20,2.35,2.35,2.17,2.23,121900,2.23
2013-08-19,2.15,2.27,2.10,2.25,31100,2.25
2013-08-16,2.10,2.16,2.09,2.13,210400,2.13
2013-08-15,2.07,2.16,2.06,2.09,49600,2.09
2013-08-14,2.05,2.12,2.04,2.06,20200,2.06
2013-08-13,2.08,2.10,2.03,2.06,20700,2.06
2013-08-12,2.08,2.13,2.01,2.05,43800,2.05
2013-08-09,1.94,2.07,1.94,2.03,148000,2.03
